日期,销量
2020-09-22,348
2020-09-23,350
2020-09-24,344
2020-09-25,325
2020-09-26,328
2020-09-27,371
2020-09-28,344
2020-09-29,406
2020-09-30,367
2020-10-01,399
2020-10-02,375
2020-10-03,366
2020-10-04,463
2020-10-05,418
2020-10-06,392
2020-10-07,430
2020-10-08,412
2020-10-09,446
2020-10-10,464
2020-10-11,495
2020-10-12,470
2020-10-13,411
2020-10-14,418
2020-10-15,455
2020-10-16,432
2020-10-17,448
2020-10-18,455
2020-10-19,462
2020-10-20,517
2020-10-21,451
2020-10-22,554
2020-10-23,541
2020-10-24,491
2020-10-25,486
2020-10-26,560
2020-10-27,565
2020-10-28,552
2020-10-29,517
2020-10-30,520
2020-10-31,544
2020-11-01,590
2020-11-02,518
2020-11-03,574
2020-11-04,526
2020-11-05,591
2020-11-06,561
2020-11-07,557
2020-11-08,562
2020-11-09,644
2020-11-10,579
2020-11-11,579
2020-11-12,599
2020-11-13,632
2020-11-14,647
2020-11-15,610
2020-11-16,630
2020-11-17,626
2020-11-18,673
2020-11-19,651
2020-11-20,658
2020-11-21,674
2020-11-22,640
2020-11-23,705
2020-11-24,662
2020-11-25,644
2020-11-26,696
2020-11-27,719
2020-11-28,690
2020-11-29,665
2020-11-30,726
2020-12-01,684
2020-12-02,675
2020-12-03,674
2020-12-04,712
2020-12-05,692
2020-12-06,689
2020-12-07,707
2020-12-08,787
2020-12-09,777
2020-12-10,766
2020-12-11,710
2020-12-12,741
2020-12-13,772
2020-12-14,791
2020-12-15,761
2020-12-16,804
2020-12-17,791
2020-12-18,812
2020-12-19,758
2020-12-20,813
2020-12-21,818
2020-12-22,818
2020-12-23,821
2020-12-24,789
2020-12-25,783
2020-12-26,803
2020-12-27,881
2020-12-28,868
2020-12-29,866
2020-12-30,897
2020-12-31,897
2021-01-01,886
2021-01-02,850
2021-01-03,876
2021-01-04,892
2021-01-05,865
2021-01-06,920
2021-01-07,864
2021-01-08,886
2021-01-09,915
2021-01-10,868
2021-01-11,872
2021-01-12,962
2021-01-13,874
2021-01-14,925
2021-01-15,973
2021-01-16,980
2021-01-17,913
2021-01-18,912
2021-01-19,914
2021-01-20,974
2021-01-21,910
2021-01-22,942
2021-01-23,967
2021-01-24,992
2021-01-25,1003
2021-01-26,1006
2021-01-27,950
2021-01-28,962
2021-01-29,1032
2021-01-30,1051
2021-01-31,1003
2021-02-01,1021
2021-02-02,1020
2021-02-03,998
2021-02-04,995
2021-02-05,1063
2021-02-06,1050
2021-02-07,1035
2021-02-08,1093
2021-02-09,1031
2021-02-10,1034
2021-02-11,1103
2021-02-12,1079
2021-02-13,1075
2021-02-14,1105
2021-02-15,1040
2021-02-16,1136
2021-02-17,1103
2021-02-18,1098
2021-02-19,1076
2021-02-20,1153
2021-02-21,1130
2021-02-22,1118
2021-02-23,1131
2021-02-24,1171
2021-02-25,1092
2021-02-26,1180
2021-02-27,1143
2021-02-28,1174
2021-03-01,1192
2021-03-02,1149
2021-03-03,1137
2021-03-04,1171
2021-03-05,1197
2021-03-06,1229
2021-03-07,1228
2021-03-08,1186
2021-03-09,1177
2021-03-10,1244
2021-03-11,1207
2021-03-12,1248
2021-03-13,1218
2021-03-14,1248
2021-03-15,1205
2021-03-16,1256
2021-03-17,1239
2021-03-18,1237
2021-03-19,1272
2021-03-20,1204
2021-03-21,1218
2021-03-22,1223
2021-03-23,1236
2021-03-24,1318
2021-03-25,1270
2021-03-26,1262
2021-03-27,1272
2021-03-28,1244
2021-03-29,1249
2021-03-30,1253
