日期,销量
2020-09-22,359
2020-09-23,390
2020-09-24,350
2020-09-25,399
2020-09-26,412
2020-09-27,413
2020-09-28,416
2020-09-29,417
2020-09-30,400
2020-10-01,369
2020-10-02,361
2020-10-03,378
2020-10-04,366
2020-10-05,417
2020-10-06,462
2020-10-07,469
2020-10-08,428
2020-10-09,396
2020-10-10,401
2020-10-11,448
2020-10-12,465
2020-10-13,451
2020-10-14,445
2020-10-15,479
2020-10-16,429
2020-10-17,467
2020-10-18,493
2020-10-19,510
2020-10-20,515
2020-10-21,476
2020-10-22,549
2020-10-23,482
2020-10-24,522
2020-10-25,552
2020-10-26,487
2020-10-27,564
2020-10-28,521
2020-10-29,580
2020-10-30,501
2020-10-31,596
2020-11-01,591
2020-11-02,564
2020-11-03,604
2020-11-04,522
2020-11-05,603
2020-11-06,629
2020-11-07,623
2020-11-08,546
2020-11-09,607
2020-11-10,638
2020-11-11,574
2020-11-12,614
2020-11-13,623
2020-11-14,649
2020-11-15,660
2020-11-16,657
2020-11-17,631
2020-11-18,607
2020-11-19,639
2020-11-20,696
2020-11-21,687
2020-11-22,620
2020-11-23,680
2020-11-24,685
2020-11-25,659
2020-11-26,669
2020-11-27,687
2020-11-28,684
2020-11-29,676
2020-11-30,685
2020-12-01,678
2020-12-02,674
2020-12-03,667
2020-12-04,751
2020-12-05,753
2020-12-06,746
2020-12-07,696
2020-12-08,780
2020-12-09,742
2020-12-10,781
2020-12-11,705
2020-12-12,783
2020-12-13,742
2020-12-14,746
2020-12-15,777
2020-12-16,764
2020-12-17,803
2020-12-18,785
2020-12-19,800
2020-12-20,843
2020-12-21,789
2020-12-22,848
2020-12-23,790
2020-12-24,812
2020-12-25,835
2020-12-26,812
2020-12-27,789
2020-12-28,799
2020-12-29,844
2020-12-30,801
2020-12-31,863
2021-01-01,837
2021-01-02,856
2021-01-03,875
2021-01-04,851
2021-01-05,859
2021-01-06,910
2021-01-07,892
2021-01-08,853
2021-01-09,865
2021-01-10,902
2021-01-11,868
2021-01-12,873
2021-01-13,960
2021-01-14,890
2021-01-15,961
2021-01-16,907
2021-01-17,972
2021-01-18,931
2021-01-19,954
2021-01-20,932
2021-01-21,956
2021-01-22,959
2021-01-23,946
2021-01-24,979
2021-01-25,967
2021-01-26,991
2021-01-27,993
2021-01-28,1028
2021-01-29,987
2021-01-30,960
2021-01-31,988
2021-02-01,1048
2021-02-02,1060
2021-02-03,1026
2021-02-04,1033
2021-02-05,1025
2021-02-06,1031
2021-02-07,1066
2021-02-08,1031
2021-02-09,1064
2021-02-10,1044
2021-02-11,1077
2021-02-12,1045
2021-02-13,1041
2021-02-14,1077
2021-02-15,1082
2021-02-16,1137
2021-02-17,1112
2021-02-18,1097
2021-02-19,1063
2021-02-20,1139
2021-02-21,1074
2021-02-22,1096
2021-02-23,1164
2021-02-24,1086
2021-02-25,1163
2021-02-26,1163
2021-02-27,1188
2021-02-28,1135
2021-03-01,1125
2021-03-02,1186
2021-03-03,1162
2021-03-04,1150
2021-03-05,1216
2021-03-06,1177
2021-03-07,1210
2021-03-08,1221
2021-03-09,1206
2021-03-10,1247
2021-03-11,1207
2021-03-12,1220
2021-03-13,1200
2021-03-14,1259
2021-03-15,1191
2021-03-16,1235
2021-03-17,1277
2021-03-18,1238
2021-03-19,1248
2021-03-20,1221
2021-03-21,1266
2021-03-22,1304
2021-03-23,1279
2021-03-24,1244
2021-03-25,1236
2021-03-26,1279
2021-03-27,1244
2021-03-28,1339
2021-03-29,1269
2021-03-30,1310
2021-03-31,1267
2021-04-01,1350
2021-04-02,1338
2021-04-03,1311
2021-04-04,1283
2021-04-05,1377
2021-04-06,1358
2021-04-07,1322
2021-04-08,1394
2021-04-09,1314
2021-04-10,1359
2021-04-11,1363
2021-04-12,1335
2021-04-13,1340
2021-04-14,1349
2021-04-15,1404
2021-04-16,1413
2021-04-17,1404
2021-04-18,1353
2021-04-19,1366
2021-04-20,1446
2021-04-21,1395
2021-04-22,1381
2021-04-23,1372
2021-04-24,1457
2021-04-25,1400
2021-04-26,1469
2021-04-27,1430
2021-04-28,1488
2021-04-29,1484
2021-04-30,1499
2021-05-01,1482
2021-05-02,1431
2021-05-03,1429
2021-05-04,1467
2021-05-05,1519
2021-05-06,1534
2021-05-07,1490
2021-05-08,1453
2021-05-09,1479
2021-05-10,1530
2021-05-11,1544
2021-05-12,1492
2021-05-13,1526
2021-05-14,1511
2021-05-15,1487
2021-05-16,1552
2021-05-17,1511
2021-05-18,1514
2021-05-19,1537
2021-05-20,1569
2021-05-21,1575
2021-05-22,1554
2021-05-23,1533
2021-05-24,1601
2021-05-25,1627
2021-05-26,1627
2021-05-27,1582
2021-05-28,1611
2021-05-29,1555
2021-05-30,1576
2021-05-31,1607
2021-06-01,1578
2021-06-02,1626
2021-06-03,1657
2021-06-04,1608
2021-06-05,1636
2021-06-06,1604
2021-06-07,1619
2021-06-08,1603
2021-06-09,1704
2021-06-10,1616
2021-06-11,1650
2021-06-12,1632
2021-06-13,1720
2021-06-14,1647
2021-06-15,1708
2021-06-16,1643
2021-06-17,1716
2021-06-18,1680
2021-06-19,1679
2021-06-20,1668
2021-06-21,1749
2021-06-22,1755
